underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,open_interest
A,2021-04-26 10:00:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,157,66.3000,284,68.8000,137.0600,137.2000,137.0945,137.1400,1.3248,0.9428,0.0016,-0.0738,0.0599,8.7737,2
A,2021-04-26 10:30:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,297,66.4000,274,68.8000,137.3700,137.4300,137.0945,137.3000,1.3327,0.9421,0.0017,-0.0750,0.0605,8.7522,2
A,2021-04-26 11:00:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,352,66.4000,382,68.8000,137.3800,137.4300,137.0945,137.4090,1.3327,0.9421,0.0017,-0.0750,0.0605,8.7522,2
A,2021-04-26 11:30:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,352,66.5000,348,68.7000,137.4500,137.4900,137.0945,137.4600,1.3327,0.9421,0.0017,-0.0750,0.0605,8.7522,2
A,2021-04-26 12:00:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,352,66.5000,338,68.7000,137.6200,137.6700,137.0945,137.6700,1.3327,0.9421,0.0017,-0.0750,0.0605,8.7522,2
A,2021-04-26 12:30:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,301,66.5000,274,68.7000,137.6100,137.6500,137.0945,137.6200,1.3327,0.9421,0.0017,-0.0750,0.0605,8.7522,2
A,2021-04-26 13:00:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,267,66.5000,287,68.7000,137.3500,137.3900,137.0945,137.3950,1.3327,0.9421,0.0017,-0.0750,0.0605,8.7522,2
A,2021-04-26 13:30:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,349,66.5000,339,68.7000,137.5100,137.5900,137.0945,137.5150,1.3327,0.9421,0.0017,-0.0750,0.0605,8.7522,2
A,2021-04-26 14:00:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,369,66.5000,349,68.7000,137.6200,137.6500,137.0945,137.6300,1.3327,0.9421,0.0017,-0.0750,0.0605,8.7522,2
A,2021-04-26 14:30:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,369,66.5000,349,68.7000,137.6800,137.7200,137.0945,137.7200,1.3327,0.9421,0.0017,-0.0750,0.0605,8.7522,2
